Division Code,#,Comp. Prd Name,Stockist product,Match,Pack,OPSTK,PURCH,SALE,SALE VAL,IN/OT,STOCK,STK VAL,DEC,NOV,STK120,EXP3M
,272,—,PHENARGAN 25MG TAB,unmatched,10TAB,100.00,100.00,137.00,"₹5,750",1.00,64.00,"₹2,509",53.00,54.00,0,0
,273,—,PHENERGAN INJ,unmatched,2ML,329.00,0,289.00,"₹3,699",0,40.00,₹489,185.00,70.00,0,0
,274,—,PHENERGAN SY,unmatched,100ML,55.00,0,16.00,₹698,0,39.00,"₹1,530",29.00,17.00,0,0
,275,—,PHENSEDYL CR,unmatched,100ML,0,0,0,—,0,0,—,0,2.00,0,0
,276,—,PHENSEDYL LR SYRUP,unmatched,100ML,0,0,0,—,0,0,—,0,0,0,0
,277,—,PHENSEDYL T SYRUP,unmatched,100ML,0,0,0,—,0,0,—,0,0,0,0
,278,—,PHEXIN 250MG CAP,unmatched,10CAP,54.00,0,4.00,₹370,0,50.00,"₹4,166",6.00,0,0,0
,279,—,POLIEXAR 2MG CAP,unmatched,10CAP,12.00,0,0,—,0,12.00,"₹1,494",2.00,1.00,2.00,0
,280,—,PPG 0.2MG,unmatched,30TAB,6.00,10.00,5.00,"₹1,032",0,11.00,"₹2,042",2.00,3.00,0,0
,281,—,PPG 0.3MG,unmatched,30TAB,17.00,20.00,15.00,"₹4,708",0,22.00,"₹6,215",10.00,11.00,0,0
,282,—,PPG MET 0.2,unmatched,10TAB,14.00,0,0,—,0,14.00,"₹1,478",1.00,6.00,4.00,0
,283,—,PPG MET 0.3,unmatched,10TAB,16.00,0,6.00,₹970,0,10.00,"₹1,454",2.00,2.00,0,0
,284,—,PPG R 0.5,unmatched,15,0,0,0,—,0,0,—,0,0,0,0
,285,—,PPG R 1,unmatched,15,0,0,0,—,0,0,—,0,0,0,0
,286,—,PROTHIADEN 25MG,unmatched,15,20.00,44.00,29.00,"₹4,460",0,35.00,"₹4,844",20.00,14.00,0,0
,287,—,PROTHIADEN 50MG,unmatched,15,9.00,20.00,13.00,"₹3,937",0,16.00,"₹4,361",5.00,6.00,0,0
,288,—,PROTHIADEN 75MG,unmatched,15,34.00,0,16.00,"₹5,128",0,18.00,"₹5,193",8.00,11.00,0,0
,289,—,PROTHIADEN M,unmatched,15,0,0,0,—,0,0,—,0,0,0,0
,290,—,PROTHIADEN NEU CAP,unmatched,10CAP,20.00,0,0,—,-20.00,0,—,0,0,0,0
,291,—,PROTUSSA COUGH SYRUP,unmatched,60ML,61.00,0,27.00,"₹1,867",0,34.00,"₹2,116",21.00,25.00,34.00,0
,292,—,QUADRIDERM RF CREAM,unmatched,5GM,145.00,0,6.00,₹381,0,139.00,"₹7,954",7.00,25.00,0,0
,293,—,RASHFREE CREAM,unmatched,30GM,33.00,25.00,33.00,"₹6,567",0,25.00,"₹4,478",23.00,23.00,0,0
,294,—,REFSAV 100MG TAB,unmatched,14TAB,0,0,0,—,0,0,—,0,0,0,0
,295,—,REFSAV 50MG TAB,unmatched,14TAB,0,0,0,—,0,0,—,0,0,0,0
,296,—,REJOINT TAB NEW,unmatched,15TAB,142.00,0,73.00,"₹38,104",0,69.00,"₹32,414",98.00,64.00,0,0
,297,—,REJOINT UC,unmatched,10CAP,28.00,0,5.00,"₹4,163",1.00,24.00,"₹17,983",16.00,17.00,0,0
,298,—,REJOINT UC PLUS,unmatched,10TAB,20.00,0,7.00,"₹6,108",0,13.00,"₹10,209",12.00,6.00,0,0
,299,—,RIVAXA 10MG TAB,unmatched,15,14.00,0,5.00,"₹1,283",0,9.00,"₹2,079",0,4.00,0,0
,300,—,RIVAXA 15MG TAB,unmatched,15,7.00,0,1.00,₹342,0,6.00,"₹1,848",5.00,5.00,0,0
,301,—,RIVAXA 2.5MG TAB,unmatched,15,8.00,0,0,—,0,8.00,"₹1,129",1.00,0,8.00,0
,302,—,RIVAXA 20MG,unmatched,15,18.00,0,3.00,"₹1,193",0,15.00,"₹5,717",2.00,336.00,0,0
,303,—,RIVMD SMART 0.25MG TAB,unmatched,30TAB,20.00,10.00,10.00,₹491,0,20.00,₹883,20.00,10.00,0,0
,304,—,RIVMD SMART 0.5MG TAB,unmatched,30TAB,36.00,36.00,26.00,"₹2,190",0,46.00,"₹3,487",58.00,13.00,0,0
,305,—,RIVOTRIL 0.25MG (DPCO),unmatched,10TAB,53.00,200.00,158.00,"₹2,585",0,95.00,"₹1,398",210.00,173.00,0,0
,306,—,RIVOTRIL 0.5MG TAB (DPCO),unmatched,15TAB,416.00,500.00,599.00,"₹25,224",0,317.00,"₹12,014",609.00,619.00,0,0
,307,—,RIVOTRIL 2 MG TAB,unmatched,15,26.00,100.00,26.00,"₹4,916",0,100.00,"₹17,015",75.00,54.00,0,0
,308,—,ROCALTROL 0.25MG CAP,unmatched,10CAP,127.00,50.00,87.00,"₹23,492",0,90.00,"₹21,872",172.00,142.00,0,0
,309,—,ROCALTROL 0.5MG CAP,unmatched,10CAP,28.00,0,17.00,"₹7,286",0,11.00,"₹4,243",5.00,10.00,0,0
,310,—,ROCKBON D 400 IU TAB,unmatched,15,33.00,0,4.00,₹647,0,29.00,"₹4,221",21.00,15.00,0,0
,311,—,ROCKBON KIT TAB,unmatched,31TAB,9.00,0,2.00,₹979,0,7.00,"₹3,085",2.00,7.00,0,0
,312,—,ROCKBON TAB,unmatched,15TAB,36.00,30.00,30.00,"₹11,013",0,36.00,"₹11,894",30.00,18.00,0,0
,313,—,SAFEDICLO CAP,unmatched,10CAP,0,0,0,—,0,0,—,0,0,0,0
,314,—,SELSUN DAILY SHAMPOO,unmatched,120ML,0,0,0,—,0,0,—,1.00,2.00,0,0
,315,—,SELSUN DAILY SHAMPOO (2 IN,unmatched,1) 200ML,4.00,0,0,—,-4.00,0,—,1.00,1.00,0,0
,316,—,SELSUN S SHAMPOO,unmatched,120ML,20.00,20.00,16.00,"₹6,541",0,24.00,"₹8,830",20.00,15.00,0,0
,317,—,SELSUN SUSP,unmatched,200ML,11.00,10.00,11.00,"₹5,531",0,10.00,"₹4,526",9.00,4.00,0,0
,318,—,SETGI CAP,unmatched,10CAP,12.00,0,4.00,₹437,0,8.00,₹874,3.00,5.00,0,0
,319,—,SIAGLIDE 100MG TAB,unmatched,15TAB,20.00,420.00,424.00,"₹1,00,976",0,16.00,"₹3,429",0,5.00,0,0
,320,—,SIAGLIDE 50MG TAB,unmatched,15TAB,26.00,180.00,180.00,"₹33,883",0,26.00,"₹4,405",4.00,0,6.00,0
,321,—,SIAGLIDE D 100MG+10MG TAB,unmatched,10TAB,20.00,10.00,9.00,"₹1,634",0,21.00,"₹3,430",9.00,11.00,0,0
,322,—,SIAGLIDE M 50MG+1000MG TAB,unmatched,15TAB,17.00,20.00,8.00,"₹1,939",0,29.00,"₹6,328",10.00,9.00,0,0
,323,—,SIAGLIDE M 50MG+500MG TAB,unmatched,15TAB,17.00,0,8.00,"₹1,541",0,9.00,"₹1,675",8.00,6.00,0,0
,324,—,SIAGLIDE M OD 100/500MG,unmatched,10,20.00,0,7.00,"₹1,446",0,13.00,"₹2,417",0,0,0,0
,325,—,SIAGLIDE M OD 100MG+1000MG,unmatched,15TAB,7.00,0,2.00,₹565,0,5.00,"₹1,271",14.00,0,0,0
,326,—,SIAGLIDE MG 1 FORTE TAB,unmatched,10TAB,0,0,0,—,0,0,—,0,0,0,0
,327,—,SIAGLIDE MG 2 FORTE TAB,unmatched,10TAB,0,0,0,—,0,0,—,0,0,0,0
,328,Solfe Extra tablets 15s,SOLFE EXTRA TAB,matched,15,36.00,0,8.00,"₹1,728",0,28.00,"₹5,446",24.00,24.00,0,0
,329,Solfe FCM inj 10 ml,SOLFE FCM 50MG INJ,matched,10ML,48.00,0,0,—,0,48.00,"₹50,880",0,0,48.00,0
,330,—,SOLSPRE F MIST,unmatched,6GM,26.00,0,0,—,-26.00,0,—,9.00,3.00,0,0
,331,—,SOLSPRE NASAL SPRAY,unmatched,100ML,36.00,0,35.00,"₹13,941",0,1.00,₹358,29.00,26.00,0,0
,332,—,SORBITRATE 10MG,unmatched,50TAB,57.00,0,4.00,₹131,0,53.00,"₹1,565",22.00,22.00,0,0
,333,—,SORBITRATE 5MG (DPCO),unmatched,50TAB,109.00,120.00,109.00,"₹3,619",0,120.00,"₹3,586",59.00,59.00,0,0
,334,—,STATOR 10MG TAB (DPCO),unmatched,15TAB,56.00,0,17.00,"₹1,031",0,39.00,"₹2,129",21.00,21.00,0,0
,335,—,STATOR 20MG TAB (DPCO),unmatched,15TAB,27.00,0,0,—,0,27.00,"₹3,725",3.00,8.00,0,0
,336,—,STATOR 40MG TAB (DPCO),unmatched,15TAB,8.00,0,1.00,₹236,0,7.00,"₹1,484",8.00,1.00,0,0
,337,—,STATOR ASP 75,unmatched,15CAP,5.00,0,0,—,0,5.00,₹284,3.00,1.00,5.00,0
,338,—,STATOR F TAB,unmatched,15,20.00,0,7.00,"₹1,807",0,13.00,"₹3,021",10.00,16.00,0,0
,339,—,STATOR GOLD 20MG CAP,unmatched,15CAP,8.00,0,0,—,-8.00,0,—,0,0,0,0
,340,—,STEMETIL INJ,unmatched,1ML,520.00,500.00,520.00,"₹10,513",0,500.00,"₹9,635",670.00,410.00,0,0
,341,—,STEMETIL MD TAB,unmatched,15,59.00,320.00,239.00,"₹32,834",0,140.00,"₹18,808",188.00,173.00,0,0
,342,—,STEMETIL VM TAB,unmatched,15TAB,11.00,0,0,—,0,11.00,"₹1,591",4.00,0,11.00,0
,343,—,SUPERMET AM TAB,unmatched,10TAB,13.00,0,0,—,0,13.00,"₹1,867",5.00,0,3.00,0
,344,—,SUPERMET XL 100MG (DPCO),unmatched,10TAB,10.00,0,0,—,0,10.00,"₹1,079",5.00,0,10.00,0
,345,—,SUPERMET XL 25MG (DPCO),unmatched,15,26.00,0,6.00,₹291,0,20.00,₹872,16.00,16.00,0,0
,346,—,SUPERMET XL 50MG (DPCO),unmatched,15TAB,11.00,0,0,—,0,11.00,₹703,9.00,0,0,0
,347,—,SUPRA PLUS,unmatched,15,93.00,0,65.00,"₹3,240",0,28.00,"₹1,256",92.00,115.00,0,0
,348,—,SUPRACTIV NEW CAP,unmatched,15CAP,0,0,0,—,0,0,—,0,0,0,0
,349,—,SURBEX CV,unmatched,15TAB,0,0,0,—,0,0,—,0,0,0,0
,350,—,SURBEX FE 30MG CHEW,unmatched,15TAB,16.00,0,6.00,"₹1,782",0,10.00,"₹2,673",9.00,6.00,0,0
,351,—,SURBEX GOLD CAP,unmatched,15CAP,13.00,0,9.00,"₹2,113",0,4.00,₹845,3.00,7.00,0,0
,352,—,SURBEX STAR CAP,unmatched,10CAP,15.00,0,0,—,0,15.00,"₹2,917",0,10.00,0,0
,353,—,SURBEX XT TAB,unmatched,15TAB,57.00,0,32.00,"₹4,382",0,25.00,"₹3,082",30.00,41.00,0,0
,354,—,SZETALO 10MG (DPCO),unmatched,15,10.00,0,4.00,₹438,1.00,7.00,₹692,12.00,0,0,0
,355,—,SZETALO 20MG (DPCO),unmatched,15,10.00,0,0,—,0,10.00,"₹1,578",0,5.00,0,0
,356,—,SZETALO 5MG (DPCO),unmatched,15,11.00,0,2.00,₹120,0,9.00,₹496,3.00,6.00,0,0
,357,—,SZETALO LS TAB,unmatched,15,18.00,0,0,—,0,18.00,"₹3,645",5.00,0,8.00,0
,358,—,SZETALO PLUS MD TAB,unmatched,10TAB,1.00,0,0,—,0,1.00,₹136,0,0,1.00,0
,359,—,SZETALO PLUS TAB,unmatched,15,10.00,30.00,33.00,"₹9,537",0,7.00,"₹1,821",6.00,7.00,0,0
,360,—,TACITINIX 5MG TAB,unmatched,10TAB,14.00,0,0,—,-14.00,0,—,0,0,0,0
,361,—,TACITINIX ER TAB,unmatched,10TAB,10.00,0,0,—,-10.00,0,—,0,0,0,0
,362,—,TACITINIX OINT,unmatched,15GM,19.00,0,0,—,0,19.00,"₹9,772",0,0,19.00,0
,363,—,TELPRES 20MG (DPCO),unmatched,15,14.00,10.00,8.00,₹379,0,16.00,₹682,5.00,4.00,0,0
,364,—,TELPRES 40CT/12.5MG,unmatched,15TAB,21.00,20.00,20.00,"₹2,421",0,21.00,"₹2,288",10.00,7.00,0,0
,365,—,TELPRES 40CT/6.25MG,unmatched,15TAB,20.00,0,6.00,₹543,0,14.00,"₹1,141",10.00,11.00,0,0
,366,—,TELPRES 40H MG 12.5MG,unmatched,15TAB,11.00,0,2.00,₹581,0,9.00,"₹2,354",2.00,2.00,0,0
,367,—,TELPRES 40MG (DPCO),unmatched,15TAB,23.00,10.00,14.00,"₹1,155",0,19.00,"₹1,411",13.00,16.00,0,0
,368,—,TELPRES 80MG TAB (DPCO),unmatched,15,12.00,0,0,—,-2.00,10.00,"₹1,143",4.00,0,0,0
,369,—,TELPRES AM TAB,unmatched,15,8.00,0,0,—,0,8.00,"₹1,807",0,0,8.00,0
,370,—,TELPRES AMH TAB,unmatched,10TAB,0,0,0,—,0,0,—,0,0,0,0
,371,—,TELPRES LN 40MG TAB,unmatched,10TAB,10.00,0,4.00,₹304,0,6.00,₹410,4.00,5.00,0,0
,372,—,TELPRES MT 25MG,unmatched,15TAB,13.00,0,0,—,0,13.00,"₹3,816",7.00,4.00,0,0
,373,—,TELPRES MT 50MG,unmatched,15TAB,6.00,0,2.00,₹724,0,4.00,"₹1,303",4.00,3.00,0,0
,374,—,TELPRES TRIO,unmatched,10TAB,0,0,0,—,0,0,—,0,0,0,0
,375,—,TELPRESS TRIO 12.5 MG TAB,unmatched,15,13.00,0,0,—,0,13.00,"₹2,048",0,7.00,13.00,0
,376,—,TG GOAL 145 TAB,unmatched,10TAB,14.00,0,3.00,₹657,0,11.00,"₹2,167",0,1.00,1.00,0
,377,—,THIOSPAS 4MG CAP,unmatched,15,10.00,10.00,5.00,"₹1,515",3.00,18.00,"₹4,909",2.00,0,0,0
,378,—,THIOSPAS A 4 TABLETS,unmatched,15,10.00,0,4.00,"₹1,405",0,6.00,"₹1,897",5.00,6.00,0,0
,379,—,THIOSPAS A 8 TABLETS,unmatched,15,0,0,0,—,0,0,—,0,0,0,0
,380,—,THYROCAL D3 TAB,unmatched,30TAB,0,0,0,—,0,0,—,2.00,0,0,0
,381,—,THYRONORM (100MCG)TAB,unmatched,120TAB,137.00,48.00,128.00,"₹16,232",0,57.00,"₹6,598",119.00,130.00,0,0
,382,—,THYRONORM (112MCG) TAB,unmatched,120TAB,18.00,12.00,14.00,"₹2,220",0,16.00,"₹2,334",10.00,2.00,0,0
,383,—,THYRONORM (12.5 MCG) TAB,unmatched,120TAB,45.00,0,32.00,"₹4,626",0,13.00,"₹1,691",30.00,41.00,0,0
,384,—,THYRONORM (125MCG) TAB,unmatched,120TAB,28.00,36.00,34.00,"₹5,546",0,30.00,"₹4,457",42.00,32.00,0,0
,385,—,THYRONORM (137MCG) TAB,unmatched,120TAB,11.00,0,1.00,₹212,0,10.00,"₹1,908",1.00,2.00,0,0
,386,—,THYRONORM (150MCG) TAB,unmatched,120TAB,26.00,0,7.00,"₹1,162",0,19.00,"₹2,839",22.00,21.00,0,0
,387,—,THYRONORM (200MCG) TAB,unmatched,120TAB,14.00,12.00,10.00,"₹1,782",0,16.00,"₹2,760",1.00,2.00,0,0
,388,—,THYRONORM (25MCG) TAB,unmatched,120TAB,134.00,0,113.00,"₹15,920",0,21.00,"₹2,670",123.00,88.00,0,0
,389,—,THYRONORM (37.5MCG) TAB,unmatched,120TAB,17.00,12.00,14.00,"₹2,004",0,15.00,"₹1,932",8.00,12.00,0,0
,390,—,THYRONORM (50MCG) TAB,unmatched,120TAB,157.00,0,111.00,"₹11,025",0,46.00,"₹4,164",154.00,137.00,0,0
,391,—,THYRONORM (62.5MCG) TAB,unmatched,120TAB,26.00,0,16.00,"₹2,516",0,10.00,"₹1,415",12.00,11.00,0,0
,392,—,THYRONORM (75MCG) TAB,unmatched,120TAB,54.00,60.00,103.00,"₹14,339",0,11.00,"₹1,388",71.00,69.00,0,0
,393,—,THYRONORM (88MCG) TAB,unmatched,120TAB,23.00,0,14.00,"₹2,254",0,9.00,"₹1,304",17.00,14.00,0,0
,394,—,THYROWEL PLUS TAB,unmatched,15TAB,24.00,10.00,21.00,"₹5,168",0,13.00,"₹2,879",9.00,15.00,0,0
,395,—,TIXYLIX G SYRUP,unmatched,60ML,47.00,0,13.00,₹882,0,34.00,"₹2,076",12.00,47.00,0,0
,396,—,TIXYLIX LS,unmatched,100ML,16.00,0,10.00,"₹1,016",0,6.00,₹549,10.00,7.00,6.00,0
,397,—,TIXYLIX LS JR. SYRUP,unmatched,60ML,35.00,0,35.00,"₹2,496",0,0,—,33.00,14.00,0,0
,398,—,TIXYLIX NEW SYRUP,unmatched,60ML,540.00,0,37.00,"₹3,271",0,503.00,"₹40,024",53.00,7.00,0,0
,399,—,TIXYLIX SY,unmatched,60ML,0,0,0,—,0,0,—,19.00,27.00,0,0
,400,—,TOOTHMIN,unmatched,70GM,12.00,10.00,7.00,"₹1,680",0,15.00,"₹3,240",11.00,10.00,0,0
,401,—,TOOTHMIN AF MOUTHWASH,unmatched,150ML,0,0,0,—,0,0,—,0,0,0,0
,402,—,TOSSEX DMR SYRUP,unmatched,100ML,77.00,0,9.00,₹988,0,68.00,"₹6,720",9.00,5.00,0,0
,403,—,TOSSEX NEW SYRUP,unmatched,100ML,0,0,0,—,0,0,—,0,0,0,0
,404,—,TOSSEX SYRUP,unmatched,120ML,227.00,0,142.00,"₹27,510",0,85.00,"₹14,821",73.00,58.00,0,0
,405,—,TRIBET 1 TAB,unmatched,15,10.00,20.00,4.00,₹959,0,26.00,"₹5,608",7.00,7.00,0,0
,406,—,TRIBET 2 TAB,unmatched,15TAB,42.00,40.00,34.00,"₹9,740",0,48.00,"₹12,375",14.00,13.00,0,0
,407,—,TRIBETROL 1 TAB,unmatched,15TAB,5.00,0,0,—,0,5.00,₹891,0,0,5.00,0
,408,—,TRIBETROL 2 TAB,unmatched,15TAB,14.00,0,5.00,"₹1,333",0,9.00,"₹2,159",5.00,2.00,0,0
,409,—,TVAKSH FACE GUARD SPF 30+,unmatched,50GM,7.00,0,1.00,₹584,0,6.00,"₹3,152",1.00,1.00,6.00,0
,410,—,TVAKSH FACE GUARD SPF 50+,unmatched,30GM,14.00,0,7.00,"₹3,687",0,7.00,"₹3,319",6.00,13.00,0,0
,411,—,TYZA CREAM,unmatched,30GM,5.00,0,0,—,0,5.00,₹577,2.00,3.00,0,0
,412,—,TYZA DUSTING POW,unmatched,50GM,10.00,0,0,—,0,10.00,"₹1,617",1.00,1.00,0,0
,413,—,TYZA M CREAM,unmatched,10GM,16.00,0,6.00,₹573,0,10.00,₹859,8.00,5.00,0,0
,414,—,TYZA TAB,unmatched,10,11.00,0,2.00,₹429,0,9.00,"₹1,737",6.00,11.00,0,0
,415,—,UDILIV 150MG TAB,unmatched,15TAB,33.00,0,27.00,"₹10,842",0,6.00,"₹2,168",25.00,21.00,0,0
,416,—,UDILIV 300MG TAB,unmatched,15TAB,89.00,0,66.00,"₹46,461",2.00,25.00,"₹15,839",82.00,39.00,0,0
,417,—,UDILIV 450MG TAB,unmatched,10TAB,34.00,45.00,35.00,"₹19,218",0,44.00,"₹21,744",4.00,19.00,0,0
,418,—,UDILIV 600MG TAB,unmatched,10TAB,30.00,0,2.00,"₹1,410",0,28.00,"₹17,763",0,0,5.00,0
,419,—,UDISTRONG SACHET,unmatched,6.5GM,0,0,0,—,0,0,—,0,0,0,0
,420,—,UVOX 100MG,unmatched,10TAB,26.00,0,0,—,0,26.00,"₹9,169",17.00,5.00,0,0
,421,—,UVOX 50MG,unmatched,10TAB,31.00,30.00,30.00,"₹6,724",0,31.00,"₹6,272",8.00,19.00,0,0
,422,—,UVOX CR 100,unmatched,10TAB,21.00,10.00,11.00,"₹3,919",0,20.00,"₹6,412",4.00,10.00,0,0
,423,—,UVOX CR 150,unmatched,10TAB,47.00,40.00,41.00,"₹18,034",0,46.00,"₹18,210",32.00,16.00,0,0
,424,—,VALANCE OD 1000MG TAB,unmatched,15,9.00,10.00,3.00,₹862,0,16.00,"₹4,551",10.00,1.00,6.00,0
,425,—,VALANCE OD 250MG,unmatched,15TAB,38.00,40.00,52.00,"₹8,407",0,26.00,"₹3,783",29.00,36.00,0,0
,426,—,VALANCE OD 500MG,unmatched,15TAB,34.00,0,16.00,"₹4,602",0,18.00,"₹4,719",6.00,45.00,0,0
,427,—,VALANCE OD 750MG,unmatched,15TAB,25.00,30.00,26.00,"₹8,974",0,29.00,"₹9,009",15.00,7.00,0,0
,428,—,VALANCE SOLUTION 250MG,unmatched,100 ML,11.00,0,4.00,₹873,0,7.00,"₹1,375",5.00,7.00,0,0
,429,—,VALANCE SOLUTION 500MG,unmatched,200ML,7.00,0,1.00,₹695,0,6.00,"₹3,754",3.00,2.00,0,0
,430,—,VERTIN 16MG TAB,unmatched,15TAB,160.00,0,111.00,"₹34,331",0,49.00,"₹13,640",173.00,114.00,0,0
,431,—,VERTIN 24MG TAB,unmatched,15TAB,39.00,0,16.00,"₹6,461",0,23.00,"₹8,359",13.00,34.00,0,0
,432,—,VERTIN 8MG TAB,unmatched,15TAB,122.00,50.00,155.00,"₹25,687",0,17.00,"₹2,569",188.00,175.00,0,0
,433,—,VERTIN DT 16MG,unmatched,15,8.00,0,0,—,-8.00,0,—,0,0,0,0
,434,—,VERTIN DT 24MG,unmatched,15,10.00,0,0,—,0,10.00,"₹3,634",0,0,0,0
,435,—,VERTIN DT 8MG,unmatched,15,10.00,0,0,—,0,10.00,"₹1,374",0,0,0,0
,436,—,VERTIN OD 24,unmatched,15,16.00,10.00,7.00,"₹3,345",0,19.00,"₹8,172",8.00,14.00,0,0
,437,—,VERTIN OD 48,unmatched,15,27.00,10.00,12.00,"₹8,791",0,25.00,"₹16,484",19.00,9.00,0,0
,438,—,XAPILIS 2.5MG,unmatched,10,27.00,0,13.00,"₹1,685",0,14.00,"₹1,634",18.00,12.00,0,0
,439,—,XAPILIS 5MG TAB,unmatched,10,40.00,0,3.00,₹493,0,37.00,"₹5,468",17.00,2.00,0,0
,440,—,XEVOR 5MG TAB,unmatched,15,9.00,10.00,8.00,₹331,0,11.00,₹409,3.00,7.00,0,0
,441,—,ZIL O TAB,unmatched,10TAB,12.00,0,0,—,0,12.00,"₹1,444",0,3.00,12.00,0
,442,—,ZOLEPHOS,unmatched,100ML,1.00,0,1.00,"₹3,042",0,0,—,0,0,0,0
,443,—,ZOLFRESH 10MG TAB,unmatched,15TAB,131.00,250.00,284.00,"₹29,505",0,97.00,"₹9,070",180.00,161.00,0,0
,444,—,ZOLFRESH 5MG TAB,unmatched,15TAB,135.00,100.00,124.00,"₹9,399",0,111.00,"₹7,572",158.00,68.00,0,0
,445,—,ZOLFRESH ODT 10MG TAB,unmatched,15TAB,0,0,0,—,0,0,—,0,0,0,0
