Division Code,#,Comp. Prd Name,Stockist product,Match,Pack,OPSTK,PURCH,SALE,SALE VAL,IN/OT,STOCK,STK VAL,DEC,NOV,STK120,EXP3M
,121,—,ESOGA RD CAP,unmatched,10CAP,63.00,100.00,76.00,"₹10,151",0,87.00,"₹10,458",60.00,58.00,0,0
,122,—,ESOKEM 40MG CAP,unmatched,15TAB,0,0,0,—,0,0,—,0,0,0,0
,123,—,ESOKEM D CAP,unmatched,15CAP,50.00,0,2.00,₹278,0,48.00,"₹5,996",0,0,48.00,0
,124,—,ESSENTIALE L 1 G,unmatched,10CAP,0,0,0,—,0,0,—,0,0,0,0
,125,Estrabet 1mg tablet 28s USP,ESTRABET 1MG TAB,matched,28TAB,88.00,0,19.00,"₹4,467",0,69.00,"₹15,944",44.00,8.00,0,0
,126,Estrabet 2mg tablet 28s USP,ESTRABET 2MG TAB,matched,28TAB,112.00,0,48.00,"₹25,011",0,64.00,"₹30,015",96.00,44.00,0,0
,127,Estrabet Gel 80 gm,ESTRABET GEL,matched,80GM,0,270.00,194.00,"₹1,67,197",0,76.00,"₹62,837",84.00,128.00,0,0
,128,—,ETODY 120MG,unmatched,10TAB,10.00,0,1.00,₹240,0,9.00,"₹1,945",4.00,0,0,0
,129,—,ETODY 60MG,unmatched,10TAB,0,0,0,—,0,0,—,0,0,0,0
,130,—,ETODY 90MG,unmatched,10TAB,23.00,20.00,23.00,"₹4,722",5.00,25.00,"₹4,619",17.00,15.00,0,0
,131,—,EXERGE,unmatched,15TAB,8.00,0,1.00,₹282,0,7.00,"₹1,777",1.00,2.00,0,0
,132,—,FACECLIN AT,unmatched,20GM,10.00,0,2.00,₹605,0,8.00,"₹2,177",0,0,0,0
,133,—,FACECLIN CREAM,unmatched,20GM,24.00,10.00,17.00,"₹2,860",0,17.00,"₹2,574",16.00,20.00,0,0
,134,—,FACECLIN FACE WASH,unmatched,100GM,16.00,6.00,9.00,"₹4,058",0,13.00,"₹5,275",9.00,14.00,0,0
,135,—,FAMTAC 40MG TAB,unmatched,14TAB,60.00,60.00,60.00,"₹1,827",0,60.00,"₹1,644",66.00,54.00,0,0
,136,—,FEBUSTAT 20MG,unmatched,15,51.00,0,28.00,"₹4,392",0,23.00,"₹3,247",43.00,27.00,0,0
,137,—,FEBUSTAT 40MG,unmatched,15TAB,262.00,100.00,171.00,"₹43,981",0,191.00,"₹44,213",307.00,197.00,0,0
,138,—,FEBUSTAT 80MG,unmatched,15TAB,46.00,0,21.00,"₹8,430",20.00,45.00,"₹16,258",39.00,13.00,0,0
,139,FEMOSTON 1/10 (28S) SALE PACK,FEMOSTON 1/10,matched,28,52.00,0,0,—,-9.00,43.00,"₹39,169",4.00,16.00,3.00,0
,140,—,FLAGYL 200 MG (DPCO),unmatched,20,530.00,0,309.00,"₹3,822",0,221.00,"₹2,641",96.00,103.00,11.00,0
,141,—,FLAGYL 400MG (DPCO),unmatched,20,341.00,120.00,453.00,"₹10,282",0,8.00,₹178,228.00,180.00,0,0
,142,—,FLAGYL ER 600MG TAB,unmatched,10TAB,16.00,10.00,13.00,₹680,2.00,15.00,₹707,4.00,7.00,0,0
,143,—,FLAGYL GEL,unmatched,20GM,24.00,20.00,16.00,"₹1,162",0,28.00,"₹1,830",22.00,16.00,0,0
,144,—,FLAGYL OF 200/100MG SUSPEN,unmatched,60ML,59.00,0,5.00,₹250,0,54.00,"₹2,426",0,1.00,0,0
,145,—,FLEXJAK ER 11MG,unmatched,10,0,0,0,—,0,0,—,0,0,0,0
,146,—,FLORACHAMP SACHET ORANGE FLA.,unmatched,5GM,50.00,70.00,59.00,"₹2,640",0,61.00,"₹2,456",59.00,35.00,0,0
,147,—,FOLLIHAIR A,unmatched,15,23.00,12.00,12.00,"₹3,645",0,23.00,"₹6,287",12.00,6.00,0,0
,148,—,FOLLIHAIR AMPM TAB,unmatched,20,18.00,24.00,17.00,"₹6,097",0,25.00,"₹8,070",7.00,14.00,0,0
,149,—,FOLLIHAIR BOTTLE,unmatched,30TAB,34.00,30.00,32.00,"₹19,070",0,32.00,"₹17,163",26.00,22.00,0,0
,150,—,FOLLIHAIR NEW TAB,unmatched,15,36.00,36.00,31.00,"₹9,416",0,41.00,"₹11,207",20.00,22.00,0,0
,151,—,FOLLIHAIR RCP SERUM,unmatched,60ML,8.00,10.00,8.00,"₹10,251",0,10.00,"₹11,532",2.00,3.00,0,0
,152,—,FOLLISERUM,unmatched,60ML,10.00,0,5.00,"₹5,197",0,5.00,"₹4,677",3.00,4.00,0,0
,153,—,FORTIUS 10MG TAB,unmatched,10TAB,44.00,50.00,44.00,"₹1,255",0,50.00,"₹1,284",36.00,24.00,0,0
,154,—,FORTIUS 20MG TAB,unmatched,10,10.00,0,0,—,0,10.00,"₹1,420",0,0,0,0
,155,—,FORTIUS 40MG TAB,unmatched,10,13.00,0,2.00,₹524,0,11.00,"₹2,593",9.00,1.00,1.00,0
,156,—,FORTIUS 5MG,unmatched,10TAB,24.00,30.00,24.00,₹479,0,30.00,₹539,18.00,6.00,0,0
,157,—,FORTIUS F 10MG,unmatched,10,15.00,0,1.00,₹176,0,14.00,"₹2,465",6.00,6.00,14.00,0
,158,—,FORTIUS F 20MG,unmatched,10,0,0,0,—,0,0,—,0,0,0,0
,159,—,FORTIUS GOLD 10MG,unmatched,NA,35.00,0,0,—,0,35.00,"₹3,924",0,0,35.00,0
,160,—,GANATON 50MG TAB,unmatched,10TAB,150.00,0,150.00,"₹23,868",0,0,—,152.00,159.00,0,0
,161,—,GANATON OD,unmatched,10TAB,19.00,0,5.00,"₹1,802",0,14.00,"₹4,542",11.00,17.00,0,0
,162,—,GANATON TOTAL CAP,unmatched,10CAP,32.00,0,32.00,"₹12,249",0,0,—,17.00,40.00,0,0
,163,—,GLIMER M1 TAB,unmatched,15,0,0,0,—,0,0,—,0,0,0,0
,164,—,GLIMER M2 FORTE TAB,unmatched,15,0,0,0,—,0,0,—,0,0,0,0
,165,—,GLIMER MV 1MG,unmatched,15,0,0,0,—,0,0,—,0,0,0,0
,166,—,GLIMER MV 2,unmatched,15,0,0,0,—,0,0,—,0,0,0,0
,167,—,GLUFORMIN 500 TAB,unmatched,10TAB,11.00,30.00,11.00,₹166,0,30.00,₹407,8.00,3.00,0,0
,168,—,GLUFORMIN G1 FORTE,unmatched,15,9.00,0,3.00,₹483,0,6.00,₹869,4.00,3.00,6.00,0
,169,—,GLUFORMIN G1 TAB,unmatched,15TAB,29.00,0,2.00,₹279,0,27.00,"₹3,384",5.00,14.00,0,0
,170,—,GLUFORMIN G2 FORTE,unmatched,15,11.00,0,3.00,₹684,0,8.00,"₹1,641",6.00,0,0,0
,171,—,GLUFORMIN G2 TAB,unmatched,15TAB,22.00,20.00,17.00,"₹3,717",0,25.00,"₹4,920",19.00,10.00,0,0
,172,—,GLUFORMIN GS FORTE 1MG TAB,unmatched,10TAB,0,0,0,—,0,0,—,0,0,0,0
,173,—,GLUFORMIN GS FORTE 2MG TAB,unmatched,10TAB,0,0,0,—,0,0,—,0,0,0,0
,174,—,GLUFORMIN XL 1000 (DPCO),unmatched,15TAB,34.00,0,5.00,₹247,0,29.00,"₹1,290",6.00,20.00,0,0
,175,—,GLUFORMIN XL 500MG,unmatched,15TAB,48.00,40.00,43.00,"₹1,089",0,45.00,"₹1,026",24.00,35.00,0,0
,176,—,GLUJECT 10MG,unmatched,15TAB,30.00,0,0,—,0,30.00,"₹5,251",5.00,3.00,10.00,0
,177,—,GLUJECT S 10MG TAB,unmatched,10TAB,20.00,0,6.00,"₹1,089",0,14.00,"₹2,287",11.00,2.00,0,0
,178,—,GTN SORBITRATE CR 2.6 TAB,unmatched,30TAB,50.00,0,31.00,"₹7,411",0,19.00,"₹4,088",25.00,26.00,0,0
,179,—,GTN SORBITRATE CR 6.4 TAB,unmatched,30TAB,20.00,0,8.00,"₹2,564",0,12.00,"₹3,462",7.00,4.00,0,0
,180,—,GUMLOC TOTAL TOOTHPASTE,unmatched,100GM,0,0,0,—,0,0,—,0,0,0,0
,181,—,HANSEPRAN 100MG CAP,unmatched,10CAP,198.00,0,36.00,"₹1,147",10.00,172.00,"₹4,930",122.00,53.00,0,0
