stockist_code,year,month,month_label,pdf_filename,original_name,date_str,time_str,page_count,page_bucket
10034008,2026,1,2026-01,10034008_20260110_130727_rptMonthlySalesAndStock716020267328197.pdf,rptmonthlysalesandstock716020267328197,20260110,130727,2,2_pages
10034008,2026,1,2026-01,10034008_20260110_130727_rptMonthlySalesAndStock7160202673317500.pdf,rptmonthlysalesandstock7160202673317500,20260110,130727,1,single_page
10034008,2026,1,2026-01,10034008_20260110_130727_rptMonthlySalesAndStock7160202673324383.pdf,rptmonthlysalesandstock7160202673324383,20260110,130727,2,2_pages
10034008,2026,1,2026-01,10034008_20260110_130727_rptMonthlySalesAndStock7160202673330935.pdf,rptmonthlysalesandstock7160202673330935,20260110,130727,2,2_pages
10034008,2026,1,2026-01,10034008_20260110_130727_rptMonthlySalesAndStock716020267333164.pdf,rptmonthlysalesandstock716020267333164,20260110,130727,1,single_page
10034008,2026,1,2026-01,10034008_20260110_130727_rptMonthlySalesAndStock716020267333878.pdf,rptmonthlysalesandstock716020267333878,20260110,130727,2,2_pages
10034008,2026,1,2026-01,10034008_20260110_131225_rptMonthlySalesAndStock7160202673351727.pdf,rptmonthlysalesandstock7160202673351727,20260110,131225,1,single_page
10034008,2026,1,2026-01,10034008_20260110_131225_rptMonthlySalesAndStock7160202673358846.pdf,rptmonthlysalesandstock7160202673358846,20260110,131225,1,single_page
10034008,2026,1,2026-01,10034008_20260110_131225_rptMonthlySalesAndStock716020267346896.pdf,rptmonthlysalesandstock716020267346896,20260110,131225,1,single_page
10034008,2026,1,2026-01,10034008_20260124_122550_rptMonthlySalesAndStock716020266524115.pdf,rptmonthlysalesandstock716020266524115,20260124,122550,1,single_page
10034008,2026,1,2026-01,10034008_20260124_123051_rptMonthlySalesAndStock7160202665240402.pdf,rptmonthlysalesandstock7160202665240402,20260124,123051,2,2_pages
10034008,2026,1,2026-01,10034008_20260124_123052_rptMonthlySalesAndStock7160202665212518.pdf,rptmonthlysalesandstock7160202665212518,20260124,123052,2,2_pages
10034008,2026,1,2026-01,10034008_20260124_123052_rptMonthlySalesAndStock7160202665226699.pdf,rptmonthlysalesandstock7160202665226699,20260124,123052,1,single_page
